,Average,bmSPY,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
AnnRet(%),8.30,6.20,7.70,7.90,8.30,7.90,7.90,8.00,8.60,7.00,6.40,8.20,7.50,6.90
AnnRisk(%),10.71,14.25,11.82,10.94,10.59,10.83,10.82,10.67,10.62,10.15,10.94,10.47,10.61,10.67
AnnSharpe,0.75,0.41,0.63,0.69,0.76,0.70,0.70,0.72,0.78,0.65,0.56,0.75,0.67,0.61
Avg_DD(%),4.24,5.28,4.65,4.30,3.52,4.07,3.66,3.92,3.27,3.94,4.89,3.76,3.67,4.54
MaxDD(%),24.76,46.32,28.56,23.92,19.67,24.81,21.02,22.10,20.89,24.55,25.25,24.78,21.50,31.09
WinRate(%),60.20,63.80,57.80,60.70,62.10,61.10,64.00,62.10,64.00,60.20,57.80,59.70,63.50,58.80
Gain_to_Loss,1.22,0.82,1.29,1.16,1.15,1.15,1.02,1.13,1.08,1.16,1.20,1.28,1.02,1.20
RoMDD,0.34,0.13,0.27,0.33,0.42,0.32,0.38,0.36,0.41,0.28,0.26,0.33,0.35,0.22
Sortino(5%),0.77,0.45,0.69,0.73,0.80,0.73,0.74,0.75,0.83,0.68,0.59,0.79,0.70,0.64
Sterling_Ratio(over MDD),0.34,0.13,0.27,0.33,0.42,0.32,0.38,0.36,0.41,0.28,0.26,0.33,0.35,0.22
beta,0.46,1.00,0.54,0.52,0.47,0.48,0.49,0.47,0.49,0.42,0.52,0.46,0.49,0.45
ann_alpha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0044,0.00,0.00,0.00,0.00,0.00
R_squared,0.38,1.00,0.42,0.46,0.39,0.39,0.42,0.38,0.42,0.35,0.45,0.39,0.42,0.35
p_value,0.01,0.00,0.05,0.02,0.01,0.02,0.02,0.02,0.01,0.04,0.12,0.01,0.03,0.06
tvalue,2.52,3.36,1.93,2.26,2.57,2.28,2.30,2.38,2.71,2.07,1.57,2.54,2.15,1.88
1YrReturns,16.48,16.14,11.79,14.18,13.99,14.57,15.18,14.54,15.52,14.72,13.72,14.57,15.59,15.04
1YrRisk,9.59,8.95,9.04,9.57,9.02,9.10,9.21,9.02,9.19,9.58,9.43,9.10,9.26,9.10
3YrReturns,10.60,12.39,11.82,8.62,8.14,10.97,7.19,10.48,8.62,4.52,10.08,11.28,6.88,12.60
3YrRisk,9.97,10.29,11.40,9.92,9.90,9.36,9.78,9.20,10.17,9.38,9.79,9.46,9.52,9.92
5YrReturns,10.90,12.98,11.31,9.92,10.04,11.71,9.24,11.34,10.14,7.12,10.81,11.58,8.96,12.48
5YrRisk,9.74,9.73,10.77,9.35,9.24,8.84,9.16,8.75,9.42,8.97,9.21,9.04,9.06,9.77
10YrReturns,11.43,10.56,11.43,10.62,11.05,11.03,10.68,10.98,11.93,8.79,8.57,10.63,10.12,10.35
10YrRisk,10.20,14.72,11.27,11.04,10.48,10.31,10.72,10.21,10.45,9.74,10.83,10.37,10.52,10.40
Total Return,1.51,1.24,1.43,1.45,1.51,1.44,1.45,1.45,1.56,1.28,1.21,1.48,1.37,1.27
Best_Month,7.44,10.91,15.81,9.59,9.88,9.59,8.90,9.59,8.90,7.54,8.92,9.59,8.06,8.51
Worst_Month,-11.38,-16.52,-11.38,-11.38,-11.11,-11.38,-11.11,-11.38,-11.11,-11.68,-11.38,-11.38,-11.11,-11.38
Best_Year,28.47,28.66,27.71,28.98,27.95,28.31,26.11,28.30,26.39,27.18,28.02,28.38,26.05,29.96
Worst_Year,-20.46,-42.87,-29.41,-23.15,-14.31,-19.95,-15.13,-17.06,-15.51,-18.16,-25.37,-19.91,-15.74,-28.44
model,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.5, 0.5, 0.0, 0.0]","[0.0, 0.5, 0.25, 0.25]","[0.0, 0.0, 0.5, 0.5]","[0.0, 0.0, 0.8, 0.2]","[0.0, 0.0, 0.2, 0.8]","[0.0, 0.0, 0.7, 0.3]","[0.0, 0.0, 0.3, 0.7]","[0.0, 0.5, 0.0, 0.5]","[0.0, 0.5, 0.5, 0.0]","[0.0, 0.0, 0.9, 0.1]","[0.0, 0.0, 0.1, 0.9]","[0.3, 0.0, 0.7, 0.0]"
